"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"1","0.000000","73.85.80.81","192.168.0.8","UDP","79","","6881  >  54222 Len=37"
"2","0.000000","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"3","0.000000","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"4","0.000000","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"5","0.000000","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"6","0.000193","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"7","0.000494","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7db4) [Reassembled in #8]"
"8","0.000494","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"9","0.000636","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7db6) [Reassembled in #10]"
"10","0.000636","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"11","0.000681","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7db8) [Reassembled in #12]"
"12","0.000681","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"13","0.000738","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dba) [Reassembled in #14]"
"14","0.000738","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"15","0.000783","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dbc) [Reassembled in #16]"
"16","0.000783","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"17","0.000819","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dbe) [Reassembled in #18]"
"18","0.000819","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"19","0.001087","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dc0) [Reassembled in #20]"
"20","0.001087","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"21","0.001156","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dc2) [Reassembled in #22]"
"22","0.001156","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"23","0.001213","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dc4) [Reassembled in #24]"
"24","0.001213","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"25","0.006612","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"26","0.006809","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dc6) [Reassembled in #27]"
"27","0.006809","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"28","0.038632","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"29","0.039308","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dc8) [Reassembled in #30]"
"30","0.039308","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"31","0.039486","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dca) [Reassembled in #32]"
"32","0.039486","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"33","0.039618","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dcc) [Reassembled in #34]"
"34","0.039618","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"35","0.067522","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"36","0.068148","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dce) [Reassembled in #37]"
"37","0.068148","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"38","0.068267","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dd0) [Reassembled in #39]"
"39","0.068267","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"40","0.068622","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"41","0.069223","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dd2) [Reassembled in #42]"
"42","0.069223","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"43","0.237505","fe80::298a:74d2:dd2f:9634","ff02::16","ICMPv6","90","","Multicast Listener Report Message v2"
"44","0.238888","fe80::298a:74d2:dd2f:9634","ff02::16","ICMPv6","90","","Multicast Listener Report Message v2"
"45","0.268581","73.85.80.81","192.168.0.8","UDP","105","","6881  >  54222 Len=63"
"46","0.268782","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dd4) [Reassembled in #47]"
"47","0.268782","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"48","0.268943","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"49","0.268943","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"50","0.268981","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"51","0.268981","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"52","0.269192","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"53","0.269204","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dd6) [Reassembled in #54]"
"54","0.269204","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"55","0.269276","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dd8) [Reassembled in #56]"
"56","0.269276","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"57","0.269321","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dda) [Reassembled in #58]"
"58","0.269321","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"59","0.269362","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7ddc) [Reassembled in #60]"
"60","0.269362","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"61","0.269451","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dde) [Reassembled in #62]"
"62","0.269451","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"63","0.269537","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7de0) [Reassembled in #64]"
"64","0.269537","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"65","0.269635","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7de2) [Reassembled in #66]"
"66","0.269635","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"67","0.269694","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7de4) [Reassembled in #68]"
"68","0.269694","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"69","0.269746","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7de6) [Reassembled in #70]"
"70","0.269746","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"71","0.323830","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"72","0.323830","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"73","0.332037","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7de8) [Reassembled in #74]"
"74","0.332037","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"75","0.332293","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dea) [Reassembled in #76]"
"76","0.332293","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"77","0.332537","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dec) [Reassembled in #78]"
"78","0.332537","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"79","0.332611","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7dee) [Reassembled in #80]"
"80","0.332611","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"81","0.332662","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"82","0.332804","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7df0) [Reassembled in #83]"
"83","0.332804","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"84","0.345438","fe80::298a:74d2:dd2f:9634","ff02::16","ICMPv6","90","","Multicast Listener Report Message v2"
"85","0.345438","41.182.4.180","192.168.0.8","UDP","68","","31594  >  6881 Len=26"
"86","0.345517","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"87","0.345517","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"88","0.345675","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7df2) [Reassembled in #89]"
"89","0.345675","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"90","0.345839","192.168.0.8","41.182.4.180","IPv4","1506","","Fragmented IP protocol (proto=UDP 17, off=0, ID=c032) [Reassembled in #91]"
